N,smina,gnina,best,annotation,prefix,model,crystal
5,40.55304,58.04932,75.72440,flex1,cluster,default2018,yes
6,43.15086,60.69119,75.88033,flex1,cluster,default2018,yes
7,44.90208,62.89780,76.06778,flex1,cluster,default2018,yes
8,47.99510,64.71698,76.21662,flex1,cluster,default2018,yes
9,49.32074,65.50388,76.32773,flex1,cluster,default2018,yes
10,50.86082,66.12129,76.32773,flex1,cluster,default2018,yes
1,17.32831,16.11611,36.88306,flex1,cluster,default2018,no
2,23.24843,23.64887,44.28780,flex1,cluster,default2018,no
3,27.26343,26.79036,47.22227,flex1,cluster,default2018,no
4,29.33745,29.85587,48.32520,flex1,cluster,default2018,no
5,31.51832,32.35602,49.52989,flex1,cluster,default2018,no
6,33.26927,34.46946,50.14991,flex1,cluster,default2018,no
7,34.52848,36.05020,50.32460,flex1,cluster,default2018,no
8,35.98040,37.63610,50.63324,flex1,cluster,default2018,no
9,36.66667,38.88386,50.89678,flex1,cluster,default2018,no
10,37.71125,40.24411,50.93262,flex1,cluster,default2018,no
1,30.03667,47.44100,85.43267,flex2,cluster,default2018,yes
2,39.28667,59.39247,87.81154,flex2,cluster,default2018,yes
3,45.09503,65.58367,88.30955,flex2,cluster,default2018,yes
4,48.06662,69.79450,88.67210,flex2,cluster,default2018,yes
5,51.64229,72.08698,88.73999,flex2,cluster,default2018,yes
6,54.39414,75.13837,88.73999,flex2,cluster,default2018,yes
7,56.17251,76.84975,88.77329,flex2,cluster,default2018,yes
8,59.45817,78.35713,88.77329,flex2,cluster,default2018,yes
9,60.91938,79.93648,88.77329,flex2,cluster,default2018,yes
10,62.55753,80.63972,88.77329,flex2,cluster,default2018,yes
1,26.68403,29.41043,65.73948,flex2,cluster,default2018,no
2,35.23932,39.15627,70.34553,flex2,cluster,default2018,no
3,40.52926,44.51073,71.11288,flex2,cluster,default2018,no
4,43.20694,49.02771,71.35474,flex2,cluster,default2018,no
5,45.76513,50.95407,71.59192,flex2,cluster,default2018,no
6,47.84652,53.69578,71.59192,flex2,cluster,default2018,no
7,49.24759,55.60562,71.59192,flex2,cluster,default2018,no
8,50.88482,56.68145,71.59192,flex2,cluster,default2018,no
9,51.92249,57.95317,71.59192,flex2,cluster,default2018,no
10,53.22866,58.84028,71.59192,flex2,cluster,default2018,no
1,25.28999,37.14743,71.78876,max2,cluster,default2018,yes
2,33.99223,49.06897,78.83856,max2,cluster,default2018,yes
3,39.34342,56.51068,80.56808,max2,cluster,default2018,yes
4,42.51585,60.89877,81.59416,max2,cluster,default2018,yes
5,46.36282,63.38596,81.92906,max2,cluster,default2018,yes
6,49.01486,66.12291,82.06879,max2,cluster,default2018,yes
7,50.98445,67.65060,82.18752,max2,cluster,default2018,yes
8,54.35719,69.31458,82.30656,max2,cluster,default2018,yes
9,55.59672,70.87634,82.48381,max2,cluster,default2018,yes
10,57.16049,72.19459,82.56318,max2,cluster,default2018,yes
1,21.41807,20.21723,46.04454,max2,cluster,default2018,no
2,28.85332,28.66503,54.96853,max2,cluster,default2018,no
3,33.61546,34.24629,57.73957,max2,cluster,default2018,no
4,35.92618,37.63346,58.98478,max2,cluster,default2018,no
5,38.45292,39.81333,60.34300,max2,cluster,default2018,no
6,40.63230,42.26181,61.23787,max2,cluster,default2018,no
7,42.09008,43.99204,61.36413,max2,cluster,default2018,no
8,43.57009,45.97080,61.57577,max2,cluster,default2018,no
9,44.35772,46.95398,61.63750,max2,cluster,default2018,no
10,45.57105,48.14332,61.63750,max2,cluster,default2018,no
1,31.48793,53.84143,92.92181,ligand,nc,default2018,yes
2,40.78732,66.58583,92.92181,ligand,nc,default2018,yes
3,46.80599,73.03952,92.92181,ligand,nc,default2018,yes
4,49.82605,76.89778,92.92181,ligand,nc,default2018,yes
5,53.94295,79.50454,92.92181,ligand,nc,default2018,yes
6,56.81612,81.37940,92.92181,ligand,nc,default2018,yes
7,58.72426,82.82293,92.92181,ligand,nc,default2018,yes
8,62.03559,84.28126,92.92181,ligand,nc,default2018,yes
9,63.63130,85.25687,92.92181,ligand,nc,default2018,yes
10,65.13145,85.85186,92.92181,ligand,nc,default2018,yes
1,28.21962,35.30036,74.84106,ligand,nc,default2018,no
2,36.80285,45.53053,74.84106,ligand,nc,default2018,no
3,42.35087,52.50449,74.84106,ligand,nc,default2018,no
